,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Daily_Avg_Temp,Monthly_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
0,3304986001,-85.158706,35.034528,268,2/25/19,0:00,0,54.03,60.56,45.13,,,,50.37,0.87,2,,6.96,0.35,rain,0.0126,0.1292,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
1,33I0075001,-85.206737,34.996081,255,2/25/19,0:00,0,53.96,60.91,45.29,,,,50.01,0.86,2,,6.77,0.35,rain,0.0133,0.133,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
2,33I0075001,-85.200274,35.008246,171,2/25/19,0:00,0,53.79,60.68,45.03,,,,50.03,0.87,2,,6.68,0.35,rain,0.0133,0.1341,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
3,33I0075001,-85.210866,35.001294,162,2/25/19,0:00,0,53.78,60.77,45.1,,,,50.01,0.87,2,,6.64,0.35,rain,0.0134,0.1334,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
4,3305787001,-85.153146,35.030081,157,2/25/19,0:00,0,54.05,60.49,45.08,,,,50.38,0.87,2,,7.13,0.35,rain,0.012,0.1186,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
5,33I0024002,-85.297892,35.021809,145,2/25/19,0:00,0,54.03,61.65,45.12,,,,50.51,0.88,2,,4.15,0.35,rain,0.0142,0.1455,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
6,33I0024002,-85.368766,35.026324,144,2/25/19,0:00,0,55.06,62.33,44.85,,,,51.31,0.87,2,,1.25,0.35,rain,0.0147,0.1574,1550995200,clear-night,rain,Clear,Light Rain,,,,,,,,,,,,,,,,,,,,,,,,
7,33I0024002,-85.28069,35.016491,136,2/25/19,0:00,0,53.72,61.31,45.03,,,,50.31,0.88,2,,4.98,0.35,rain,0.0143,0.1457,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
8,33I0024002,-85.237709,35.008661,127,2/25/19,0:00,0,53.29,60.79,44.94,,,,49.95,0.88,2,,6.06,0.35,rain,0.0143,0.1446,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
9,3305767001,-85.260666,35.041707,120,2/25/19,0:00,0,53.49,60.76,44.6,,,,50.01,0.88,2,,4.46,0.35,rain,0.0145,0.147,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
10,330A390001,-85.290431,35.048719,119,2/25/19,0:00,0,54.26,61.75,45.25,,,,50.39,0.87,2,,3.81,0.35,rain,0.0151,0.1561,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
11,33SR008001,-85.331318,35.094368,114,2/25/19,0:00,0,54.67,61.67,44.8,,,,50.76,0.87,2,,3.61,0.36,rain,0.0157,0.1622,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
12,330C353001,-85.206483,35.006562,113,2/25/19,0:00,0,53.78,60.74,45.08,,,,50.02,0.87,2,,6.61,0.35,rain,0.0134,0.1339,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
13,3303603001,-85.181912,35.016889,113,2/25/19,0:00,0,54.06,60.59,45.08,,,,50.36,0.87,2,,6.84,0.35,rain,0.0128,0.1287,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
14,33I0024002,-85.281292,35.016831,112,2/25/19,0:00,0,53.73,61.33,45.04,,,,50.32,0.88,2,,4.96,0.35,rain,0.0143,0.1457,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
15,33I0075001,-85.078179,35.082723,112,2/25/19,0:00,0,53.9,59.68,45.02,,,,50.74,0.89,2,,7.87,0.35,rain,0.0114,0.1124,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
16,33SR320001,-85.163699,35.015214,110,2/25/19,0:00,0,54.06,60.54,45.1,,,,50.37,0.87,2,,7.18,0.35,rain,0.012,0.1171,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
17,3304976001,-85.06329,35.08082,109,2/25/19,0:00,0,53.89,59.64,45.11,,,,50.79,0.89,2,,8.17,0.35,rain,0.0111,0.1101,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
18,3305747001,-85.132664,35.080045,107,2/25/19,0:00,0,54.05,59.81,44.91,,,,50.56,0.88,2,,6.81,0.35,rain,0.0128,0.1291,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
19,33I0075001,-85.184238,35.012866,107,2/25/19,0:00,0,54.06,60.68,45.16,,,,50.36,0.87,2,,6.87,0.35,rain,0.0128,0.1283,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
20,33I0075001,-85.184679,35.01246,102,2/25/19,0:00,0,54.05,60.69,45.17,,,,50.36,0.87,2,,6.87,0.35,rain,0.0128,0.1283,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
21,330C353001,-85.205213,35.008709,100,2/25/19,0:00,0,53.78,60.73,45.06,,,,50.02,0.87,2,,6.59,0.35,rain,0.0134,0.1342,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
22,33I0024002,-85.238046,35.008957,97,2/25/19,0:00,0,53.29,60.78,44.94,,,,49.94,0.88,2,,6.05,0.35,rain,0.0143,0.1446,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
23,33I0024002,-85.297411,35.02156,96,2/25/19,0:00,0,54.03,61.65,45.12,,,,50.51,0.88,2,,4.16,0.35,rain,0.0142,0.1455,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
