Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex
1,0,1,0,11.0,0,1,0,14,4.0,0,0,0,2.0,1579496400,1,0.0,13.27,0.58,0.0,26.14,9.0,10.0,0
1,0,1,0,11.0,0,1,4,14,4.0,0,0,0,2.0,1579510800,1,0.04,14.62,0.67,0.0,23.87,6.6,10.0,0
0,1,2,0,11.0,0,1,8,14,4.0,0,0,0,2.0,1579525200,1,0.44,14.74,0.71,0.001,22.62,6.46,10.0,0
1,0,3,0,11.0,0,1,12,14,4.0,0,0,0,2.0,1579539600,1,0.31,15.55,0.6,0.0,27.82,7.43,10.0,2
1,0,4,0,11.0,0,1,16,14,4.0,0,0,0,2.0,1579554000,1,0.2,16.1,0.51,0.0006,32.4,7.78,10.0,1
0,1,1,0,11.0,0,1,20,14,4.0,0,0,0,2.0,1579568400,1,0.37,14.17,0.61,0.0006,25.6,7.26,10.0,0
1,0,1,0,11.0,0,1,23,14,4.0,0,0,0,2.0,1579579200,1,0.17,12.71,0.61,0.0002,24.31,7.02,10.0,0
1,0,1,0,17.0,0,2,0,2,2.0,0,0,0,2.0,1579496400,1,0.0,12.76,0.57,0.0,25.82,9.04,10.0,0
1,0,1,0,17.0,0,2,4,2,2.0,0,0,0,2.0,1579510800,1,0.04,14.17,0.67,0.0,23.65,6.62,10.0,0
0,1,2,0,17.0,0,2,8,2,2.0,0,0,0,2.0,1579525200,1,0.44,14.33,0.71,0.001,22.4,6.48,10.0,0
1,0,3,0,17.0,0,2,12,2,2.0,0,0,0,2.0,1579539600,1,0.31,14.92,0.6,0.0,27.11,7.45,10.0,2
1,0,4,0,17.0,0,2,16,2,2.0,0,0,0,2.0,1579554000,1,0.21,15.24,0.51,0.0006,31.47,7.8,10.0,1
0,1,1,0,17.0,0,2,20,2,2.0,0,0,0,2.0,1579568400,1,0.37,13.71,0.62,0.0006,24.95,7.29,10.0,0
1,0,1,0,17.0,0,2,23,2,2.0,0,0,0,2.0,1579579200,1,0.17,12.17,0.61,0.0002,23.82,7.06,10.0,0
1,0,1,0,11.0,0,3,0,111,4.0,0,0,0,2.0,1579496400,1,0.0,13.71,0.58,0.0,26.66,9.1,10.0,0
1,0,1,0,11.0,0,3,4,111,4.0,0,0,0,2.0,1579510800,1,0.04,14.73,0.67,0.0,24.22,6.65,10.0,0
0,1,2,0,11.0,0,3,8,111,4.0,0,0,0,2.0,1579525200,1,0.47,14.94,0.7,0.001,23.2,6.65,10.0,0
1,0,3,0,11.0,0,3,12,111,4.0,0,0,0,2.0,1579539600,1,0.3,16.19,0.58,0.0,29.02,7.77,10.0,2
1,0,4,0,11.0,0,3,16,111,4.0,0,0,0,2.0,1579554000,1,0.24,16.83,0.49,0.0007,33.95,8.06,10.0,1
0,1,1,0,11.0,0,3,20,111,4.0,0,0,0,2.0,1579568400,1,0.41,14.04,0.58,0.0006,26.89,7.57,10.0,0
1,0,1,0,11.0,0,3,23,111,4.0,0,0,0,2.0,1579579200,1,0.18,12.97,0.59,0.0002,25.26,7.34,10.0,0
1,0,1,0,11.0,0,4,0,38,4.0,0,0,0,2.0,1579496400,1,0.0,13.72,0.57,0.0,26.72,9.13,10.0,0
1,0,1,0,11.0,0,4,4,38,4.0,0,0,0,2.0,1579510800,1,0.04,14.71,0.66,0.0,24.26,6.67,10.0,0
