Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed
0,1,1,5,11.0,0,1,0,14,4.0,0,0,0,2.0,1579928400,0,0.64,34.85,0.83,0.0006,39.72,7.2
0,1,1,5,11.0,0,1,4,14,4.0,0,0,0,2.0,1579942800,0,0.8,32.3,0.83,0.0005,37.01,6.92
0,1,2,5,11.0,0,1,8,14,4.0,0,0,0,2.0,1579957200,0,0.65,31.03,0.84,0.0011,35.43,5.33
0,1,3,5,11.0,0,1,12,14,4.0,0,0,0,2.0,1579971600,0,0.71,32.26,0.74,0.0015,39.84,6.37
0,1,4,5,11.0,0,1,16,14,4.0,0,0,0,2.0,1579986000,0,0.57,32.92,0.69,0.0,42.33,6.02
0,1,1,5,11.0,0,1,20,14,4.0,0,0,0,2.0,1580000400,0,0.44,30.33,0.76,0.0,37.04,3.93
0,1,1,5,11.0,0,1,23,14,4.0,0,0,0,2.0,1580011200,0,0.77,29.12,0.81,0.0015,34.3,4.21
0,1,1,5,17.0,0,2,0,2,2.0,0,0,0,2.0,1579928400,0,0.64,33.93,0.83,0.0006,38.78,7.13
0,1,1,5,17.0,0,2,4,2,2.0,0,0,0,2.0,1579942800,0,0.8,31.74,0.84,0.0004,36.15,6.85
0,1,2,5,17.0,0,2,8,2,2.0,0,0,0,2.0,1579957200,0,0.65,30.84,0.86,0.0011,34.67,5.29
0,1,3,5,17.0,0,2,12,2,2.0,0,0,0,2.0,1579971600,0,0.71,31.93,0.75,0.0015,39.02,6.35
0,1,4,5,17.0,0,2,16,2,2.0,0,0,0,2.0,1579986000,0,0.57,32.59,0.71,0.0,41.4,5.99
0,1,1,5,17.0,0,2,20,2,2.0,0,0,0,2.0,1580000400,0,0.43,30.33,0.78,0.0,36.64,3.91
0,1,1,5,17.0,0,2,23,2,2.0,0,0,0,2.0,1580011200,0,0.77,28.86,0.8,0.0015,34.28,4.17
0,1,1,5,11.0,0,3,0,111,4.0,0,0,0,2.0,1579928400,0,0.62,35.02,0.8,0.0004,40.62,6.61
0,1,1,5,11.0,0,3,4,111,4.0,0,0,0,2.0,1579942800,0,0.78,32.32,0.79,0.0004,38.2,6.39
0,1,2,5,11.0,0,3,8,111,4.0,0,0,0,2.0,1579957200,0,0.64,31.19,0.81,0.0011,36.57,5.07
0,1,3,5,11.0,0,3,12,111,4.0,0,0,0,2.0,1579971600,0,0.71,32.59,0.71,0.0015,41.22,6.19
0,1,4,5,11.0,0,3,16,111,4.0,0,0,0,2.0,1579986000,0,0.57,32.96,0.66,0.0,43.72,5.81
0,1,1,5,11.0,0,3,20,111,4.0,0,0,0,2.0,1580000400,0,0.4,29.8,0.73,0.0,37.75,3.82
0,1,1,5,11.0,0,3,23,111,4.0,0,0,0,2.0,1580011200,0,0.77,28.94,0.8,0.0014,34.63,3.86
0,1,1,5,11.0,0,4,0,38,4.0,0,0,0,2.0,1579928400,0,0.62,34.94,0.8,0.0004,40.6,6.54
0,1,1,5,11.0,0,4,4,38,4.0,0,0,0,2.0,1579942800,0,0.78,31.99,0.79,0.0003,37.91,6.32
0,1,2,5,11.0,0,4,8,38,4.0,0,0,0,2.0,1579957200,0,0.64,31.11,0.81,0.0011,36.53,5.03
0,1,3,5,11.0,0,4,12,38,4.0,0,0,0,2.0,1579971600,0,0.71,32.58,0.71,0.0015,41.3,6.17
0,1,4,5,11.0,0,4,16,38,4.0,0,0,0,2.0,1579986000,0,0.57,33.08,0.65,0.0,43.93,5.78
0,1,1,5,11.0,0,4,20,38,4.0,0,0,0,2.0,1580000400,0,0.4,29.85,0.73,0.0,37.85,3.8
0,1,1,5,11.0,0,4,23,38,4.0,0,0,0,2.0,1580011200,0,0.78,29.0,0.79,0.0014,34.77,3.82
0,1,1,5,16.0,0,5,0,11,2.0,0,0,0,2.0,1579928400,0,0.61,34.92,0.79,0.0004,40.9,6.47
0,1,1,5,16.0,0,5,4,11,2.0,0,0,0,2.0,1579942800,0,0.78,32.15,0.79,0.0003,38.2,6.26
0,1,2,5,16.0,0,5,8,11,2.0,0,0,0,2.0,1579957200,0,0.64,31.3,0.8,0.0011,36.88,5.0
0,1,3,5,16.0,0,5,12,11,2.0,0,0,0,2.0,1579971600,0,0.71,32.66,0.7,0.0015,41.74,6.15
0,1,4,5,16.0,0,5,16,11,2.0,0,0,0,2.0,1579986000,0,0.57,33.24,0.65,0.0,44.38,5.76
0,1,1,5,16.0,0,5,20,11,2.0,0,0,0,2.0,1580000400,0,0.4,30.04,0.72,0.0,38.11,3.78
0,1,1,5,16.0,0,5,23,11,2.0,0,0,0,2.0,1580011200,0,0.77,28.68,0.78,0.0014,34.77,3.77
0,1,1,5,19.0,0,6,0,14,1.0,0,0,0,3.0,1579928400,0,0.61,34.92,0.79,0.0004,40.96,6.4
0,1,1,5,19.0,0,6,4,14,1.0,0,0,0,3.0,1579942800,0,0.78,32.17,0.79,0.0003,38.24,6.18
0,1,2,5,19.0,0,6,8,14,1.0,0,0,0,3.0,1579957200,0,0.63,31.36,0.8,0.0011,36.95,4.96
0,1,3,5,19.0,0,6,12,14,1.0,0,0,0,3.0,1579971600,0,0.71,32.69,0.7,0.0015,41.83,6.13
0,1,4,5,19.0,0,6,16,14,1.0,0,0,0,3.0,1579986000,0,0.57,33.29,0.65,0.0,44.49,5.73
0,1,1,5,19.0,0,6,20,14,1.0,0,0,0,3.0,1580000400,0,0.39,30.1,0.72,0.0,38.2,3.77
0,1,1,5,19.0,0,6,23,14,1.0,0,0,0,3.0,1580011200,0,0.78,28.68,0.78,0.0014,34.85,3.73
0,1,1,5,19.0,0,7,0,0,2.0,0,0,0,2.0,1579928400,0,0.6,31.31,0.82,0.0003,36.2,6.19
0,1,1,5,19.0,0,7,4,0,2.0,0,0,0,2.0,1579942800,0,0.77,29.22,0.84,0.0003,33.65,5.99
0,1,2,5,19.0,0,7,8,0,2.0,0,0,0,2.0,1579957200,0,0.63,29.73,0.88,0.0012,32.98,4.88
0,1,3,5,19.0,0,7,12,0,2.0,0,0,0,2.0,1579971600,0,0.71,30.17,0.75,0.0015,37.34,6.07
