Grid_Num,Join_Count,GRID_ID,coords,Longitudes,Latitudes,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Center_Lat,Center_Long,roundAbout,RoadwayFeatureMode,yieldSignCount,stopSignCount,speedMode,oneWayStop,oneWayStopCount,twoWayStop,twoWayStopCount,oneWayYield,oneWayYieldCount,twoWayYield,twoWayYieldCount,threeWayStop,threeWayStopCount,fourWayStop,fourWayStopCount,trafficSignal,trafficSignalCount
1,17,A-28,"-85.46316207100011, 34.98311234316594, -85.46561265257645, 34.978867811367536, -85.4705138157293, 34.978867811367536, -85.4729643973057, 34.98311234316594, -85.4705138157293, 34.98735687496435, -85.46561265257645, 34.98735687496435, -85.46316207100011, 34.98311234316594","-85.46316207100011, -85.46561265257645, -85.4705138157293, -85.4729643973057, -85.4705138157293, -85.46561265257645, -85.46316207100011","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",4.0,2.0,11.0,34.98311234,-85.46806323,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,B-28,"-85.45581032627086, 34.98735687496435, -85.4582609078472, 34.98311234316594, -85.46316207100011, 34.98311234316594, -85.46561265257645, 34.98735687496435, -85.46316207100011, 34.9916014067627, -85.4582609078472, 34.9916014067627, -85.45581032627086, 34.98735687496435","-85.45581032627086, -85.4582609078472, -85.46316207100011, -85.46561265257645, -85.46316207100011, -85.4582609078472, -85.45581032627086","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",2.0,2.0,17.0,34.98735687,-85.46071149,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,139,I-28,"-85.40434811316652, 34.98311234316594, -85.40679869474286, 34.978867811367536, -85.41169985789571, 34.978867811367536, -85.41415043947211, 34.98311234316594, -85.41169985789571, 34.98735687496435, -85.40679869474286, 34.98735687496435, -85.40434811316652, 34.98311234316594","-85.40434811316652, -85.40679869474286, -85.41169985789571, -85.41415043947211, -85.41169985789571, -85.40679869474286, -85.40434811316652","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",4.0,2.0,11.0,34.98311234,-85.40924928,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,53,J-28,"-85.39699636843727, 34.98735687496435, -85.39944695001367, 34.98311234316594, -85.40434811316652, 34.98311234316594, -85.40679869474286, 34.98735687496435, -85.40434811316652, 34.9916014067627, -85.39944695001367, 34.9916014067627, -85.39699636843727, 34.98735687496435","-85.39699636843727, -85.39944695001367, -85.40434811316652, -85.40679869474286, -85.40434811316652, -85.39944695001367, -85.39699636843727","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",4.0,2.0,11.0,34.98735687,-85.40189753,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,K-28,"-85.38964462370808, 34.98311234316594, -85.39209520528453, 34.978867811367536, -85.39699636843727, 34.978867811367536, -85.39944695001367, 34.98311234316594, -85.39699636843727, 34.98735687496435, -85.39209520528453, 34.98735687496435, -85.38964462370808, 34.98311234316594","-85.38964462370808, -85.39209520528453, -85.39699636843727, -85.39944695001367, -85.39699636843727, -85.39209520528453, -85.38964462370808","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",2.0,2.0,16.0,34.98311234,-85.39454579,0,3,0,0,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,19,L-28,"-85.38229287897894, 34.98735687496435, -85.38474346055534, 34.98311234316594, -85.38964462370808, 34.98311234316594, -85.39209520528453, 34.98735687496435, -85.38964462370808, 34.9916014067627, -85.38474346055534, 34.9916014067627, -85.38229287897894, 34.98735687496435","-85.38229287897894, -85.38474346055534, -85.38964462370808, -85.39209520528453, -85.38964462370808, -85.38474346055534, -85.38229287897894","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",1.0,3.0,19.0,34.98735687,-85.38719404,0,3,0,2,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2,O-28,"-85.36023764479137, 34.98311234316594, -85.36268822636777, 34.978867811367536, -85.3675893895205, 34.978867811367536, -85.37003997109684, 34.98311234316594, -85.3675893895205, 34.98735687496435, -85.36268822636777, 34.98735687496435, -85.36023764479137, 34.98311234316594","-85.36023764479137, -85.36268822636777, -85.3675893895205, -85.37003997109684, -85.3675893895205, -85.36268822636777, -85.36023764479137","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",2.0,2.0,19.0,34.98311234,-85.36513881,0,3,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,4,P-28,"-85.35288590006218, 34.98735687496435, -85.35533648163857, 34.98311234316594, -85.36023764479137, 34.98311234316594, -85.36268822636777, 34.98735687496435, -85.36023764479137, 34.9916014067627, -85.35533648163857, 34.9916014067627, -85.35288590006218, 34.98735687496435","-85.35288590006218, -85.35533648163857, -85.36023764479137, -85.36268822636777, -85.36023764479137, -85.35533648163857, -85.35288590006218","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",2.0,2.0,19.0,34.98735687,-85.35778706,0,3,0,0,-1,1,6,1,1,0,0,0,0,0,0,0,0,0,0
9,5,Q-28,"-85.34553415533298, 34.98311234316594, -85.34798473690932, 34.978867811367536, -85.35288590006218, 34.978867811367536, -85.35533648163857, 34.98311234316594, -85.35288590006218, 34.98735687496435, -85.34798473690932, 34.98735687496435, -85.34553415533298, 34.98311234316594","-85.34553415533298, -85.34798473690932, -85.35288590006218, -85.35533648163857, -85.35288590006218, -85.34798473690932, -85.34553415533298","34.98311234316594, 34.978867811367536, 34.978867811367536, 34.98311234316594, 34.98735687496435, 34.98735687496435, 34.98311234316594",2.0,3.0,17.0,34.98311234,-85.35043532,0,2,0,0,-1,1,1,1,2,1,3,0,0,0,0,1,3,0,0
10,36,R-28,"-85.33818241060374, 34.98735687496435, -85.34063299218019, 34.98311234316594, -85.34553415533298, 34.98311234316594, -85.34798473690932, 34.98735687496435, -85.34553415533298, 34.9916014067627, -85.34063299218019, 34.9916014067627, -85.33818241060374, 34.98735687496435","-85.33818241060374, -85.34063299218019, -85.34553415533298, -85.34798473690932, -85.34553415533298, -85.34063299218019, -85.33818241060374","34.98735687496435, 34.98311234316594, 34.98311234316594, 34.98735687496435, 34.9916014067627, 34.9916014067627, 34.98735687496435",2.0,3.0,16.0,34.98735687,-85.34308357,0,3,0,2,35,1,2,0,0,0,0,0,0,0,0,0,0,0,0
